Elapsed Time 	Action 	 X	Y
547.959	Pressed Left	2439	1226
555.691	Pressed Left	1328	825
555.716	Pressed Left	1332	823
563.192	Pressed Left	1244	882
563.218	Pressed Left	1248	875
563.25	Key	LShiftKey
563.264	Pressed Left	2394	1225
563.269	Key	LShiftKey
563.283	Pressed Left	2391	1260
563.288	Key	LShiftKey
563.303	Pressed Left	2439	1226
571.722	Pressed Left	1412	785
571.747	Pressed Left	1415	787
571.779	Key	LShiftKey
571.795	Pressed Left	2394	1225
571.801	Key	LShiftKey
571.816	Pressed Left	2391	1260
571.821	Key	LShiftKey
571.836	Pressed Left	2439	1226
579.423	Pressed Left	1241	881
579.449	Pressed Left	1249	886
586.491	Pressed Left	1408	791
586.517	Pressed Left	1410	784
586.549	Key	LShiftKey
586.564	Pressed Left	2394	1225
586.569	Key	LShiftKey
586.583	Pressed Left	2391	1260
586.588	Key	LShiftKey
586.602	Pressed Left	2439	1226
593.921	Pressed Left	1247	877
593.948	Pressed Left	1244	888
593.98	Key	LShiftKey
593.994	Pressed Left	2394	1225
593.999	Key	LShiftKey
594.013	Pressed Left	2391	1260
594.018	Key	LShiftKey
594.032	Pressed Left	2439	1226
604.415	Pressed Left	1386	926
604.441	Pressed Left	1400	922
604.473	Key	LShiftKey
604.489	Pressed Left	2394	1225
604.494	Key	LShiftKey
604.509	Pressed Left	2391	1260
604.514	Key	LShiftKey
604.529	Pressed Left	2439	1226
611.575	Pressed Left	1314	607
611.601	Pressed Left	1309	617
611.633	Key	LShiftKey
611.648	Pressed Left	2394	1225
611.653	Key	LShiftKey
611.668	Pressed Left	2391	1260
611.673	Key	LShiftKey
611.687	Pressed Left	2439	1226
618.845	Pressed Left	1466	640
618.871	Pressed Left	1456	626
626.754	Pressed Left	1253	878
626.78	Pressed Left	1249	882
634.386	Pressed Left	1410	778
634.412	Pressed Left	1414	791
641.449	Pressed Left	1244	887
641.475	Pressed Left	1242	878
649.788	Pressed Left	1402	920
649.814	Pressed Left	1396	930
657.26	Pressed Left	1309	621
657.286	Pressed Left	1306	619
665.297	Pressed Left	1362	690
665.322	Pressed Left	1364	678
672.483	Pressed Left	1360	686
672.509	Pressed Left	1358	686
672.541	Key	LShiftKey
672.556	Pressed Left	2394	1225
672.561	Key	LShiftKey
672.575	Pressed Left	2391	1260
672.58	Key	LShiftKey
672.595	Pressed Left	2439	1226
679.649	Pressed Left	1360	685
679.675	Pressed Left	1354	686
679.707	Key	LShiftKey
679.721	Pressed Left	2394	1225
679.726	Key	LShiftKey
679.74	Pressed Left	2391	1260
679.745	Key	LShiftKey
679.76	Pressed Left	2439	1226
687.473	Pressed Left	1318	589
687.498	Pressed Left	1323	590
694.788	Pressed Left	1445	767
694.814	Pressed Left	1444	773
702.275	Pressed Left	1243	882
702.301	Pressed Left	1243	875
702.333	Key	LShiftKey
702.348	Pressed Left	2394	1225
702.353	Key	LShiftKey
702.368	Pressed Left	2391	1260
702.373	Key	LShiftKey
702.387	Pressed Left	2439	1226
709.566	Pressed Left	1405	787
709.592	Pressed Left	1417	784
709.624	Key	LShiftKey
709.638	Pressed Left	2394	1225
709.643	Key	LShiftKey
709.657	Pressed Left	2391	1260
709.662	Key	LShiftKey
709.676	Pressed Left	2439	1226
717.094	Pressed Left	1240	873
717.12	Pressed Left	1237	877
717.152	Key	LShiftKey
717.166	Pressed Left	2394	1225
717.171	Key	LShiftKey
717.185	Pressed Left	2391	1260
717.19	Key	LShiftKey
717.204	Pressed Left	2439	1226
724.394	Pressed Left	1315	839
724.421	Pressed Left	1310	827
724.453	Key	LShiftKey
