Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.807	Moved	1515	882
0.808	Moved	1514	882
0.809	Moved	1512	882
0.81	Moved	1510	882
0.811	Moved	1508	882
0.812	Moved	1507	882
0.813	Moved	1505	882
0.814	Moved	1504	882
0.815	Moved	1502	882
0.816	Moved	1500	882
0.817	Moved	1498	882
0.818	Moved	1496	882
0.819	Moved	1494	882
0.82	Moved	1492	881
0.821	Moved	1490	881
0.822	Moved	1489	881
0.823	Moved	1487	880
0.824	Moved	1485	880
0.825	Moved	1483	879
0.826	Moved	1480	879
0.827	Moved	1478	878
0.828	Moved	1476	877
0.829	Moved	1474	877
0.83	Moved	1472	876
0.831	Moved	1470	876
0.832	Moved	1467	875
0.833	Moved	1465	874
0.834	Moved	1462	873
0.835	Moved	1460	873
0.836	Moved	1457	872
0.837	Moved	1455	871
0.838	Moved	1453	870
0.839	Moved	1450	870
0.84	Moved	1448	869
0.841	Moved	1445	868
0.842	Moved	1443	867
0.843	Moved	1440	867
0.844	Moved	1437	866
0.845	Moved	1435	865
0.846	Moved	1433	865
0.847	Moved	1430	864
0.848	Moved	1428	863
0.849	Moved	1425	862
0.85	Moved	1422	862
0.851	Moved	1420	861
0.852	Moved	1417	860
0.853	Moved	1414	860
0.854	Moved	1412	859
0.855	Moved	1410	859
0.856	Moved	1407	858
0.857	Moved	1405	858
0.858	Moved	1402	857
0.859	Moved	1399	857
0.86	Moved	1397	856
0.861	Moved	1394	856
0.862	Moved	1392	855
0.863	Moved	1390	855
0.864	Moved	1388	855
0.865	Moved	1385	855
0.866	Moved	1383	854
0.867	Moved	1381	854
0.868	Moved	1378	854
0.869	Moved	1376	853
0.87	Moved	1374	853
0.871	Moved	1372	853
0.872	Moved	1370	853
0.873	Moved	1368	853
0.874	Moved	1365	853
0.875	Moved	1363	852
0.876	Moved	1361	852
0.877	Moved	1359	852
0.878	Moved	1357	852
0.879	Moved	1356	852
0.88	Moved	1354	852
0.881	Moved	1352	852
